alpha_deg,lambda0,lambda0_residual,lambda,lambda_residual,lambda1,lambda1_residual,lambda2,lambda2_residual,lambda1_symmetry,lambda1_symmetry_residual,lambda1_D1_printed,lambda1_D1_printed_residual,lambda1_symmetry_error
11.0,-0.08738478632275437,9.880528339945016e-11,-0.8641572768812829,8.976125398518775e-12,-0.4781575691061678,5.005795777890398e-11,-0.49970793705570693,4.92229332380717e-11,-0.4781575691180887,7.596911988372312e-11,,,1.1920908704610156e-11
12.0,-0.0922920028688971,2.244786301286439e-11,-0.8568299376647318,2.2590013193379832e-11,-0.4762098750580931,4.753594740058986e-11,-0.4996182015495366,8.929690428934045e-11,-0.4762098750580931,9.50715062231211e-11,,,0.0
13.0,-0.09672071476686467,6.042029376818192e-11,-0.8496220497778835,2.4763996409049582e-11,-0.4742568809651111,6.124240004012904e-11,-0.499510941562897,5.979475725323424e-11,-0.474256880977032,8.753359148627737e-11,,,1.1920908704610156e-11
14.0,-0.10069007005609172,3.6225883404128467e-12,-0.8425088255091372,2.7515267841948798e-11,-0.47229604611968434,7.688044645348668e-11,-0.4993842560414439,4.1379360875282156e-11,-0.47229604610776343,7.326950157704459e-11,,,1.1920908704610156e-11
15.0,-0.10421992528449055,3.2626623625020557e-11,-0.8354696921011833,1.3427647882480187e-11,-0.4703248574946717,3.410566273842619e-11,-0.4992361344728655,3.517091132221317e-13,-0.4703248574946717,6.821143649915484e-11,,,0.0
16.0,-0.10733039580333588,2.6646629347482076e-11,-0.8284873005973071,9.353573471315713e-11,-0.468340825571004,7.390699163778436e-12,-0.4990644472786141,3.826616974678121e-11,-0.468340825571004,1.4781509349859334e-11,,,0.0
17.0,-0.11004152841856209,1.7632145743462502e-11,-0.821546811110186,4.94673191298034e-11,-0.4663414799269393,4.514538742839136e-11,-0.4988669358003255,4.515101487134743e-11,-0.4663414799269393,9.029066383448026e-11,,,0.0
18.0,-0.11237306998169533,6.383787942709773e-11,-0.8146353662506274,2.7267660351881773e-11,-0.46432436495845064,1.808725391683197e-11,-0.4986412021908724,9.867038783251125e-11,-0.46432436495845064,3.617428578905901e-11,,,0.0
19.0,-0.11434431020048737,1.678490679779543e-11,-0.8077416947805297,5.863667884575818e-11,-0.4622870355757696,4.429095978863984e-11,-0.4983846991385224,1.5344134816908106e-11,-0.4622870355757696,8.858236366648953e-11,,,0.0
20.0,-0.11597398076401672,9.422726487962052e-11,-0.800855808535191,3.152533789574363e-11,-0.46022705292377386,2.3260282588921655e-11,-0.4980947190188949,6.862465977419685e-11,-0.46022705292377386,4.65208982447507e-11,,,0.0
