alpha_deg,case_id,material_index,sigma_prime,factor_truncation,d_over_l,delta_prime,J_prime,lambda0,lambda,g2,Q_prefactor,base_terminal_log_deviation,process_terminal_log_deviation
33,C_negative_material1,1,-0.5,60,0.175997042172615,0.194786039358121,0.0506286207426195,-0.113484852501947,-0.70882065978878,0.568839896482744,-0.266999461547145,4.44089209850063e-16,0
34,C_negative_material1,1,-0.5,60,0.177314806758626,0.195129822309017,0.0505436004958889,-0.111966083735806,-0.701356142186557,0.602168704909943,-0.275327878399628,4.44089209850063e-16,0
35,C_negative_material1,1,-0.5,60,0.17793332415152,0.194560949666012,0.0502437277058824,-0.110319486556143,-0.693813757180223,0.634922969448595,-0.283138783451639,4.44089209850063e-16,0
36,C_negative_material1,1,-0.5,60,0.177847197241222,0.193090298967772,0.0497327608785978,-0.10855603296891,-0.686189351300311,0.666964109540705,-0.290405623849216,4.44089209850063e-16,0
37,C_negative_material1,1,-0.5,60,0.177056997486105,0.190738205024881,0.0490164191836387,-0.106686403406662,-0.67847880141223,0.69815706494061,-0.297105592222994,4.44089209850063e-16,0
38,C_negative_material1,1,-0.5,60,0.175569359823703,0.187534225150475,0.0481023358273834,-0.104720988678583,-0.67067799923814,0.728370995868819,-0.303219719722693,4.44089209850063e-16,0
39,C_negative_material1,1,-0.5,60,0.173397007925665,0.183516769895093,0.0469999854646206,-0.102669887077728,-0.662782837159214,0.757479981198956,-0.308732929152656,4.44089209850063e-16,0
40,C_negative_material1,1,-0.5,60,0.170558704234338,0.178732599365005,0.0457205852035409,-0.100542896909431,-0.654789195090278,0.785363701666499,-0.313634044505232,4.44089209850063e-16,0
41,C_negative_material1,1,-0.5,60,0.167079121069766,0.173236188858242,0.0442769695007689,-0.0983495048352307,-0.646692928250734,0.811908094388453,-0.317915754071911,4.44089209850063e-16,0
42,C_negative_material1,1,-0.5,60,0.16298863126356,0.167088971403698,0.0426834400371242,-0.0960988705572152,-0.638489855681534,0.837005964748731,-0.321574525402184,4.44089209850063e-16,0
43,C_negative_material1,1,-0.5,60,0.158323019183733,0.160358468661725,0.0409555924765785,-0.0937998084931237,-0.630175749379015,0.860557541995053,-0.324610471666405,4.44089209850063e-16,0
44,C_negative_material1,1,-0.5,60,0.153123115524244,0.153117325307878,0.0391101227914289,-0.0914607672064252,-0.621746323933427,0.88247096574906,-0.32702717039927,4.44089209850063e-16,0
45,C_negative_material1,1,-0.5,60,0.147434361702781,0.145442265256109,0.0371646165395893,-0.0890898074503422,-0.613197226573893,0.902662692061786,-0.328831437102629,4.44089209850063e-16,0
46,C_negative_material1,1,-0.5,60,0.14130631195919,0.137412990649924,0.0351373250533356,-0.0866945797528858,-0.60452402753271,0.921057809625684,-0.330033057675631,4.44089209850063e-16,0
47,C_negative_material1,1,-0.5,60,0.134792083124844,0.12911104629068,0.0330469329051064,-0.084282302504506,-0.595722210650925,0.937590259216442,-0.330644485056055,4.44089209850063e-16,0
48,C_negative_material1,1,-0.5,60,0.127947763363745,0.120618672922984,0.0309123212171475,-0.0818597415056653,-0.586787164154273,0.952202952278173,-0.330680506685666,4.44089209850063e-16,0
49,C_negative_material1,1,-0.5,60,0.120831791859822,0.112017672507416,0.0287523313640704,-0.0794331918855336,-0.577714171534145,0.964847787645533,-0.330157890394994,4.44089209850063e-16,0
50,C_negative_material1,1,-0.5,60,0.1135043213531,0.103388307286847,0.0265855333780896,-0.0770084632151072,-0.568498402472431,0.975485568552205,-0.329095016962706,4.44089209850063e-16,0
51,C_negative_material1,1,-0.5,60,0.106026574585287,0.0948082521950925,0.0244300029241926,-0.0745908685115914,-0.559134903752118,0.984085825131607,-0.327511507895663,4.44089209850063e-16,0
52,C_negative_material1,1,-0.5,60,0.098460204142798,0.0863516171486921,0.0223031101039747,-0.0721852176722398,-0.549618590097437,0.990626550400544,-0.32542785688147,4.44089209850063e-16,0
53,C_negative_material1,1,-0.5,60,0.0908666629845884,0.0780880522539504,0.0202213226253393,-0.0697958156940644,-0.539944234888268,0.995093860076675,-0.322865072900101,4.44089209850063e-16,0
54,C_negative_material1,1,-0.5,60,0.0833065902635838,0.070081945238427,0.0182000251031122,-0.067426465841862,-0.530106460693568,0.997481588395538,-0.319844342170595,4.44089209850063e-16,0
55,C_negative_material1,1,-0.5,60,0.0758392141036016,0.0623917167966984,0.0162533555046698,-0.0650804777326284,-0.520099729567655,0.997790833284981,-0.316386715021382,4.44089209850063e-16,0
56,C_negative_material1,1,-0.5,60,0.0685217700201702,0.0550692163314408,0.0143940590965031,-0.0627606801211156,-0.509918333051485,0.996029464794603,-0.312512822490766,4.44089209850063e-16,0
57,C_negative_material1,1,-0.5,60,0.0614089309310506,0.0481592180417325,0.012633359747632,-0.0604694380092211,-0.499556381818404,0.992211610584036,-0.308242626062458,4.44089209850063e-16,0
58,C_negative_material1,1,-0.5,60,0.0545522424781559,0.0416990156914265,0.0109808481637142,-0.0582086735689841,-0.48900779490032,0.986357131607993,-0.303595202523577,4.44089209850063e-16,0
59,C_negative_material1,1,-0.5,60,0.0479995559584675,0.0357181138322325,0.00944438660540199,-0.055979890270428,-0.478266288425785,0.978491099993227,-0.298588564561567,4.44089209850063e-16,0
60,C_negative_material1,1,-0.5,60,0.0417944508528474,0.0302380138530546,0.00803002991993124,-0.053784199543536,-0.467325363795924,0.968643289599804,-0.293239516492655,4.44089209850063e-16,0
61,C_negative_material1,1,-0.5,60,0.0359756400432276,0.0252720949646066,0.00674196329599352,-0.0516223492777048,-0.45617829521756,0.956847688022694,-0.287563543430691,4.44089209850063e-16,0
62,C_negative_material1,1,-0.5,60,0.03057635368978,0.0208255930473645,0.00558245804057422,-0.0494947534690553,-0.444818116504968,0.943142036943484,-0.281574731377013,4.44089209850063e-16,0
63,C_negative_material1,1,-0.5,60,0.0256237027214003,0.0168956839842255,0.00455184783796849,-0.0474015223611843,-0.433237607052432,0.927567405897883,-0.275285715055392,4.44089209850063e-16,0
64,C_negative_material1,1,-0.5,60,0.0211380303644919,0.0134716823943131,0.00364852933419297,-0.0453424924823205,-0.421429276868905,0.91016780277561,-0.268707649910175,4.44089209850063e-16,0
65,C_negative_material1,1,-0.5,60,0.0171322703940207,0.0105353711254788,0.00286899239233723,-0.043317256055005,-0.409385350553341,0.89098982278568,-0.261850204456744,4.44089209850063e-16,0
66,C_negative_material1,1,-0.5,60,0.0136113440286283,0.00806148082720875,0.00220788683304149,-0.0413251893370108,-0.397097750074424,0.87008233624899,-0.254721569126734,4.44089209850063e-16,0
67,C_negative_material1,1,-0.5,60,0.0105716434818139,0.00601834153419589,0.00165813367589227,-0.0393654795385475,-0.38455807620106,0.847496214446305,-0.247328477831214,4.44089209850063e-16,0
68,C_negative_material1,1,-0.5,60,0.008000668438968,0.00436872827371651,0.00121108950047824,-0.0374371500460435,-0.371757588409669,0.823284091859074,-0.239676238661156,4.44089209850063e-16,0
69,C_negative_material1,1,-0.5,60,0.00587690050019631,0.00307091876203317,0.000856772097719751,-0.0355390837631323,-0.358687183070486,0.797500162483574,-0.231768770390072,4.44089209850063e-16,0
70,C_negative_material1,1,-0.5,60,0.00417001679090584,0.0020799714890044,0.000584153511198779,-0.0336700444522425,-0.34533736968704,0.770200007455465,-0.223608641751536,4.44089209850063e-16,0
71,C_negative_material1,1,-0.5,60,0.0028415523079361,0.00134921500767458,0.000381522217626065,-0.03182869602368,-0.331698244929829,0.74144045096482,-0.215197110758443,4.44089209850063e-16,0
72,C_negative_material1,1,-0.5,60,0.00184611346653441,0.0008319124992265,0.000236908941881557,-0.0300136197724943,-0.317759464165979,0.71127944134046,-0.206534161626998,4.44089209850063e-16,0
73,C_negative_material1,1,-0.5,60,0.00113321269985795,0.000483029312237104,0.000138560092572391,-0.0282233296066537,-0.303510210139862,0.679775954206029,-0.197618537127555,4.44089209850063e-16,0
74,C_negative_material1,1,-0.5,60,0.000649724943142381,0.000260987376934034,7.5429373750451e-05,-0.0264562853435883,-0.28893915840373,0.64698991472902,-0.18844776439713,4.44089209850063e-16,0
75,C_negative_material1,1,-0.5,60,0.000342853723103796,0.000129245759525643,3.76433969362985e-05,-0.0247109041767638,-0.274034439030086,0.612982136171198,-0.179018172403418,4.44089209850063e-16,0
76,C_negative_material1,1,-0.5,60,0.000163340744232414,5.75139373373791e-05,1.68846499852806e-05,-0.0229855704307763,-0.258783594056145,0.577814272181686,-0.169324899334714,4.44089209850063e-16,0
77,C_negative_material1,1,-0.5,60,6.84844060417835e-05,2.2403036137688e-05,6.63081720063554e-06,-0.0212786437335475,-0.243173530011767,0.541548780533011,-0.159361888195745,4.44089209850063e-16,0
78,C_negative_material1,1,-0.5,60,2.44098491078077e-05,7.37267601806859e-06,2.20049876247858e-06,-0.0195884657388338,-0.227190464761212,0.504248896270665,-0.14912186881113,4.44089209850063e-16,0
79,C_negative_material1,1,-0.5,60,7.04944709293088e-06,1.9517217999155e-06,5.875490792298e-07,-0.0179133655325031,-0.210819867740058,0.465978612516545,-0.13859632424471,4.44089209850063e-16,0
80,C_negative_material1,1,-0.5,60,1.54032859027716e-06,3.8757700397333e-07,1.17708777998392e-07,-0.0162516638529093,-0.194046392484078,0.426802667427397,-0.127775439344211,4.44089209850063e-16,0
81,C_negative_material1,1,-0.5,60,2.30200273747385e-07,5.21013788328173e-08,1.59668398216034e-08,-0.0146016762501364,-0.176853800116679,0.386786536055496,-0.116648028664021,4.44089209850063e-16,0
82,C_negative_material1,1,-0.5,60,2.01577271180514e-08,4.05199770358471e-09,1.25329153044903e-09,-0.0129617153016455,-0.159224872172416,0.345996426086555,-0.105201440391959,4.44089209850063e-16,0
83,C_negative_material1,1,-0.5,60,8.06294565363533e-10,1.4165942709103e-10,4.4231924023834e-11,-0.0113300919935904,-0.1411413107682,0.304499276637271,-0.0934214320450211,4.44089209850063e-16,0
84,C_negative_material1,1,-0.5,60,9.62102281223996e-12,1.44683967139718e-12,4.56155089534644e-13,-0.0097051163683057,-0.122583623667258,0.262362759481532,-0.0812920125464309,4.44089209850063e-16,0
85,C_negative_material1,1,-0.5,60,1.55395489161394e-14,1.94414032660091e-15,6.19036037126383e-16,-0.00808509752962436,-0.103530991180801,0.219655282240231,-0.0687952437438662,4.44089209850063e-16,0
86,C_negative_material1,1,-0.5,60,6.61595621982451e-19,6.60874876238321e-20,2.12568242124284e-20,-0.00646834308908406,-0.0839611110739482,0.176445993215867,-0.0559109923502859,4.44089209850063e-16,0
87,C_negative_material1,1,-0.5,60,1.38793338790843e-26,1.03747902923147e-27,3.37166275128208e-28,-0.00485315812797578,-0.0638500166230691,0.132804787680898,-0.0426166204624457,4.44089209850063e-16,0
88,C_negative_material1,1,-0.5,60,4.88167770534163e-43,2.42653307855144e-44,7.96951413906175e-45,-0.0032378437427729,-0.0431718616236571,0.0888023155395682,-0.028886598970297,4.44089209850063e-16,0
89,C_negative_material1,1,-0.5,60,7.355662408481e-98,1.82297683460638e-99,6.05205954467486e-100,-0.00162069523488243,-0.0218986643459924,0.0445099903781969,-0.0146920228595862,4.44089209850063e-16,0
91,C_negative_material2,2,-0.5,60,7.74959923267843e-68,2.14609387022831e-69,6.81543661834783e-70,-0.00691077346463103,-0.0218190039904516,0.00657921582639886,-0.0675623855727938,4.44089209850063e-16,0
92,C_negative_material2,2,-0.5,60,5.83171046481848e-28,3.20190527750378e-29,1.00888370144612e-29,-0.0137059181185827,-0.0428630629369292,0.0129070610287572,-0.131747269092979,4.44089209850063e-16,0
93,C_negative_material2,2,-0.5,60,1.73824245806063e-16,1.41889250373751e-17,4.43722327529878e-18,-0.0203685895030679,-0.0631758952564875,0.0188352041329632,-0.19259621450565,4.44089209850063e-16,0
94,C_negative_material2,2,-0.5,60,2.67272269772991e-11,2.8826583177315e-12,8.94993164482742e-13,-0.0268838036507687,-0.0827970902011684,0.0242264662675906,-0.250151199626909,4.44089209850063e-16,0
95,C_negative_material2,2,-0.5,60,1.99690163362707e-08,2.66745667416038e-09,8.22467468930756e-10,-0.0332382845737241,-0.101762698489505,0.0289545088058524,-0.304456140782305,4.44089209850063e-16,0
96,C_negative_material2,2,-0.5,60,1.2331375538839e-06,1.95820927094841e-07,5.99791152684552e-08,-0.0394203151053341,-0.120105714587333,0.0329034463085197,-0.355557731361108,4.44089209850063e-16,0
97,C_negative_material2,2,-0.5,60,1.97871516384878e-05,3.63112980323416e-06,1.10515231635202e-06,-0.0454195941132642,-0.137856474505484,0.035967414599818,-0.403505810791651,4.44089209850063e-16,0
98,C_negative_material2,2,-0.5,60,0.000142298493409091,2.95568196804496e-05,8.94113298051042e-06,-0.0512271020851205,-0.155042986952219,0.0380501182213565,-0.448353418010645,4.44089209850063e-16,0
99,C_negative_material2,2,-0.5,60,0.000612924365782563,0.000141830935402534,4.26550903052123e-05,-0.0568349763056361,-0.171691211346482,0.0390643767420802,-0.490156639614993,4.44089209850063e-16,0
100,C_negative_material2,2,-0.5,60,0.00186938174209955,0.000475910479653876,0.000142330001138805,-0.0622363962553775,-0.187825293041428,0.0389316853988918,-0.528974331618901,4.44089209850063e-16,0
101,C_negative_material2,2,-0.5,60,0.00447437571779262,0.00124054908026165,0.000369027324433376,-0.0674254794305272,-0.203467763777147,0.0375818022200878,-0.564867771276803,4.44089209850063e-16,0
102,C_negative_material2,2,-0.5,60,0.00898116021539361,0.00268920641300482,0.00079586651681227,-0.0723971874785721,-0.218639713639895,0.034952371048415,-0.597900279152059,4.44089209850063e-16,0
103,C_negative_material2,2,-0.5,60,0.0158073439221904,0.00507573087491285,0.00149479117136552,-0.077147242337637,-0.233360939489068,0.0309885876374159,-0.628136839774701,4.44089209850063e-16,0
104,C_negative_material2,2,-0.5,60,0.0251625934227654,0.00861259411785429,0.00252448276834627,-0.0816720519343174,-0.247650073808183,0.0256429141536055,-0.655643740548131,4.44089209850063e-16,0
105,C_negative_material2,2,-0.5,60,0.0370357092536519,0.0134427769055153,0.00392257296674375,-0.085968644917101,-0.261524697161322,0.0188748458946615,-0.680488242254085,4.44089209850063e-16,0
106,C_negative_material2,2,-0.5,60,0.0512239593863275,0.0196278576435041,0.00570272279220873,-0.0900346138645945,-0.275001436833666,0.0106507327558803,-0.702738289834063,4.44089209850063e-16,0
