alpha_deg,case_id,material_index,sigma_prime,factor_truncation,d_over_l,delta_prime,J_prime,lambda0,lambda,g2,Q_prefactor,base_terminal_log_deviation,process_terminal_log_deviation
143,C_positive_material1,1,0.5,60,0.0480004299474328,0.0562241102287703,0.0130577658079576,-0.0932736729585632,-0.597950135080279,-0.94424474853335,0.172869107495741,4.44089209850063e-16,0
144,C_positive_material1,1,0.5,60,0.0468011437246844,0.0547997194601234,0.012759972084539,-0.0906988886651854,-0.604052151960203,-0.959762711483578,0.165797198041708,4.44089209850063e-16,0
145,C_positive_material1,1,0.5,60,0.0454715451589632,0.0531755661659592,0.0124174099897295,-0.0880879165632637,-0.610112669090682,-0.972898996242319,0.158652597410645,4.44089209850063e-16,0
146,C_positive_material1,1,0.5,60,0.0440285189520168,0.0513770522365611,0.012035270062059,-0.085448304890207,-0.616139439285979,-0.983572073050485,0.151463886556123,4.44089209850063e-16,0
147,C_positive_material1,1,0.5,60,0.0424886478884196,0.0494297039129016,0.0116187873400437,-0.0827870931766523,-0.622140433108306,-0.991714758873994,0.144258414010107,4.44089209850063e-16,0
148,C_positive_material1,1,0.5,60,0.040867996162938,0.0473587184613785,0.01117315207816,-0.0801107771110707,-0.628123876431513,-0.997274141812452,0.137062135147121,4.44089209850063e-16,0
149,C_positive_material1,1,0.5,60,0.039181933447965,0.0451885786745957,0.0107034333845741,-0.0774252834531976,-0.63409829271269,-1.00021129251334,0.129899492918161,4.44089209850063e-16,0
150,C_positive_material1,1,0.5,60,0.0374449990505744,0.0429427371682082,0.010214516195974,-0.0747359549879982,-0.640072550835856,-1.00050079065186,0.122793340028671,4.44089209850063e-16,0
151,C_positive_material1,1,0.5,60,0.0356708041393457,0.0406433693727869,0.00971105142451368,-0.0720475451514719,-0.646055919573425,-0.998130098696303,0.115764900950849,4.44089209850063e-16,0
152,C_positive_material1,1,0.5,60,0.033871968942428,0.03831119161084,0.00919741863138368,-0.0693642216490587,-0.652058129939555,-0.993098817268762,0.108833770823632,4.44089209850063e-16,0
153,C_positive_material1,1,0.5,60,0.0320600910534681,0.0359653387590476,0.0086777002137872,-0.0666895781407914,-0.658089446998819,-0.985417856559641,0.102017947262778,4.44089209850063e-16,0
154,C_positive_material1,1,0.5,60,0.0302457405228011,0.0336232947206314,0.00815566583838932,-0.0640266528920615,-0.664160753062996,-0.975108556725754,0.0953338903939261,4.44089209850063e-16,0
155,C_positive_material1,1,0.5,60,0.0284384772369382,0.0313008682345483,0.00763476570961471,-0.0613779531859081,-0.670283644684277,-0.962201787345178,0.0887966060383877,4.44089209850063e-16,0
156,C_positive_material1,1,0.5,60,0.0266468861511626,0.0290122063425575,0.00711813121060718,-0.0587454842576328,-0.676470546470697,-0.946737052208726,0.0824197468784561,4.44089209850063e-16,0
157,C_positive_material1,1,0.5,60,0.0248786261981567,0.0267698380390054,0.00660858148405384,-0.0561307815366197,-0.682734845559449,-0.928761621385456,0.0762157265799637,4.44089209850063e-16,0
158,C_positive_material1,1,0.5,60,0.0231404890894588,0.0245847411310952,0.00610863460857851,-0.0535349450522417,-0.68909105165698,-0.908329707959813,0.0701958421800589,4.44089209850063e-16,0
159,C_positive_material1,1,0.5,60,0.0214384647146168,0.0224664260508869,0.00562052215784477,-0.0509586749682418,-0.695554988993207,-0.885501702393775,0.0643704005145843,4.44089209850063e-16,0
160,C_positive_material1,1,0.5,60,0.0197778103794079,0.0204230311943326,0.00514620608654483,-0.0484023073406857,-0.702144028489163,-0.860343473341842,0.058748844999168,4.44089209850063e-16,2.22044604925031e-16
161,C_positive_material1,1,0.5,60,0.0181631216756686,0.0184614252460114,0.00468739705630271,-0.045865849337271,-0.708877371121873,-0.832925740091331,0.0533398796414692,0,2.33146835171283e-15
162,C_positive_material1,1,0.5,60,0.0165984033192086,0.0165873128282743,0.00424557348503808,-0.0433490133009091,-0.715776397216924,-0.803323518700664,0.0481515877115008,1.33226762955019e-15,1.82076576038527e-14
163,C_positive_material1,1,0.5,60,0.0150871388142635,0.0148053406510496,0.00382200076779493,-0.0408512491805953,-0.722865101713114,-0.771615641394058,0.0431915429973876,1.24344978758017e-14,1.33670852164878e-13
164,C_positive_material1,1,0.5,60,0.0136323582980702,0.0131192021095396,0.00341775027073759,-0.0383717749821514,-0.730170643115477,-0.73788434682832,0.0384669119968874,9.48130463029839e-14,9.59454737881521e-13
165,C_positive_material1,1,0.5,60,0.0122367043985977,0.011531738976597,0.00303371784260795,-0.0359096050070073,-0.737724045149203,-0.702214937432246,0.0339845457294323,7.2386541205534e-13,6.83708645257247e-12
166,C_positive_material1,1,0.5,60,0.0109024964167936,0.0100450394631733,0.00267064171972287,-0.0334635757468566,-0.745561107128001,-0.664695499067764,0.0297510600739795,5.50492984528622e-12,4.82524020751202e-11
167,C_positive_material1,1,0.5,60,0.00963179366041863,0.00866053249201033,0.00232911982715105,-0.0310323693853242,-0.753723605273423,-0.625416677701545,0.0257729036375075,4.15925072152722e-11,3.36709105098819e-10
168,C_positive_material1,1,0.5,60,0.00842645936454447,0.00737907856950075,0.00200962660782829,-0.0286145349251436,-0.762260908805223,-0.584471507531477,0.0220564121136373,3.12088799199345e-10,2.31884456349985e-09
169,C_positive_material1,1,0.5,70,0.00728822742966329,0.00620105818757788,0.00171252965738725,-0.0262085070120173,-0.771232202678064,-0.541955285012679,0.0186078478741448,5.87001558454683e-11,4.66723215739709e-10
170,C_positive_material1,1,0.5,70,0.00621877535331401,0.00512645929771826,0.00143810662903992,-0.023812622565889,-0.780709624329387,-0.497965483407715,0.0154334231004821,6.13984418673913e-10,4.41120685397527e-09
171,C_positive_material1,1,0.5,80,0.00521980851125912,0.00415496615560539,0.00118656314156698,-0.0214251353586606,-0.790782826221308,-0.452601702789249,0.0125393040243884,3.15728998451343e-10,2.33189612336309e-09
172,C_positive_material1,1,0.5,90,0.00429316390131294,0.00328605286872144,0.000958052852105484,-0.0190442286963327,-0.80156585619088,-0.405965650803359,0.00993159266211935,3.16715764675318e-10,2.33542729872345e-09
173,C_positive_material1,1,0.5,100,0.00344094667381506,0.00251908649575231,0.000752701599339584,-0.016668026374942,-0.813207998184819,-0.358161149919977,0.00761628052739444,6.19738704606995e-10,4.43116333497574e-09
174,C_positive_material1,1,0.5,120,0.00266572254464229,0.00185344687893007,0.000570638914180797,-0.0142946020852313,-0.825911809163949,-0.309294167323224,0.00559916567358393,3.18344461851926e-10,2.34125252792498e-09
175,C_positive_material1,1,0.5,140,0.00197080887826015,0.00128867404732887,0.000412043013325082,-0.0119219874422094,-0.839965292683623,-0.259472864005762,0.00388571897306885,6.22458084881823e-10,4.44057824831093e-09
176,C_positive_material1,1,0.5,180,0.00136075065726716,0.000824659596772985,0.000277211662711467,-0.00954817881398105,-0.855804849003772,-0.20880766001039,0.00248087534818492,3.1951108420583e-10,2.34542019414688e-09
177,C_positive_material1,1,0.5,230,0.000842175611804541,0.000461905303314419,0.000166687092135077,-0.00717114312055392,-0.87415551355655,-0.157411313096056,0.00138870444281458,8.71760219187381e-10,6.11708163772637e-09
178,C_positive_material1,1,0.5,350,0.000425542662628296,0.00020186851643413,8.15106256364328e-05,-0.00478882276873974,-0.896412137441381,-0.105399008385452,0.000611863666270512,6.24842621892626e-10,4.4488286487105e-09
179,C_positive_material1,1,0.5,690,0.000129556523161929,4.72851380629407e-05,2.38734335819058e-05,-0.0023991398845168,-0.926126584627037,-0.0528884567699207,0.000150576024635127,8.73028093880396e-10,6.12139485420343e-09
