case_id,alpha_deg,material_index,sigma_prime,d_over_l,delta_prime,J_prime
alpha45_material1,45,1,-0.1475,0.0201366035090071,0.0199116110643454,0.0114208829146219
alpha45_material1,45,1,-0.145,0.0195829968855055,0.0193641900573777,0.011106893694695
alpha45_material1,45,1,-0.1425,0.0190353787588086,0.018822690635904,0.0107963009721372
alpha45_material1,45,1,-0.14,0.0184937877079792,0.0182871509479311,0.0104891266278461
alpha45_material1,45,1,-0.1375,0.017958263250209,0.0177576100691134,0.0101853930747981
alpha45_material1,45,1,-0.135,0.0174288458810101,0.017234108042494,0.00988512328084384
alpha45_material1,45,1,-0.1325,0.0169055771168981,0.0167166859207117,0.00958834079291685
alpha45_material1,45,1,-0.13,0.016388499540775,0.0162053858108767,0.00929506976277331
alpha45_material1,45,1,-0.1275,0.0158776568502353,0.015700250922337,0.00900533497438981
alpha45_material1,45,1,-0.125,0.0153730939090447,0.0152013256175817,0.00871916187316063
alpha45_material1,45,1,-0.1225,0.0148748568020675,0.0147086554665546,0.00843657659705081
alpha45_material1,45,1,-0.12,0.0143829928939476,0.0142222873046801,0.00815760600987844
alpha45_material1,45,1,-0.1175,0.0138975508918838,0.0137422692949364,0.00788227773691869
alpha45_material1,45,1,-0.115,0.0134185809128763,0.0132686509943511,0.00761062020304425
alpha45_material1,45,1,-0.1125,0.0129461345558674,0.0128014834253359,0.00734266267364143
alpha45_material1,45,1,-0.11,0.0124802649792489,0.0123408191523272,0.00707843529856971
alpha45_material1,45,1,-0.1075,0.0120210269842637,0.0118867123642572,0.00681796915946511
alpha45_material1,45,1,-0.105,0.0115684771048993,0.0114392189634416,0.00656129632072467
alpha45_material1,45,1,-0.1025,0.011122673704941,0.0109983966615494,0.00630844988455252
alpha45_material1,45,1,-0.1,0.0106836770829452,0.0105643050834025,0.00605946405049733
alpha45_material1,45,1,-0.0975,0.0102515495859893,0.0101370058794555,0.00581437417996806
alpha45_material1,45,1,-0.095,0.00982635573317636,0.00971656284791971,0.00557321686628199
alpha45_material1,45,1,-0.0925,0.00940816235000587,0.00930304206763276,0.00533603001087594
alpha45_material1,45,1,-0.09,0.00899703871488553,0.00889651204293349,0.00510285290640333
alpha45_material1,45,1,-0.0875,0.00859305671924493,0.00849704386198651,0.00487372632754594
alpha45_material1,45,1,-0.085,0.00819629104293594,0.0081047113702228,0.00464869263049574
alpha45_material1,45,1,-0.0825,0.0078068193468678,0.00771959136082246,0.00442779586221187
alpha45_material1,45,1,-0.08,0.0074247224851397,0.00734176378447704,0.00421108188073584
alpha45_material1,45,1,-0.0775,0.00705008473930944,0.00697131198104065,0.00399859848806182
alpha45_material1,45,1,-0.075,0.0066829940778905,0.0066083229361276,0.00379039557731565
alpha45_material1,45,1,-0.0725,0.00632354244471765,0.00625288756625601,0.00358652529630721
alpha45_material1,45,1,-0.07,0.00597182608048936,0.00590510103679752,0.00338704222989976
alpha45_material1,45,1,-0.0675,0.0056279458826133,0.00556506311780212,0.00319200360410357
alpha45_material1,45,1,-0.065,0.00529200780949065,0.00523287858376529,0.00300146951537399
alpha45_material1,45,1,-0.0625,0.00496412333662918,0.00490865766464478,0.00281550318930523
alpha45_material1,45,1,-0.06,0.0046444099735454,0.00459251655698725,0.00263417127380187
alpha45_material1,45,1,-0.0575,0.00433299185239905,0.00428457800598575,0.00245754417293488
alpha45_material1,45,1,-0.055,0.00403000040182902,0.00398497197178671,0.00228569642912129
alpha45_material1,45,1,-0.0525,0.00373557512270864,0.0036938363965774,0.00211870716310953
alpha45_material1,45,1,-0.05,0.00344986448676123,0.00341131809316109,0.00195666058364751
alpha45_material1,45,1,-0.0475,0.00317302698452793,0.0031375737812155,0.00179964658185875
alpha45_material1,45,1,-0.045,0.00290523235656828,0.00287277130473687,0.00164776142954278
alpha45_material1,45,1,-0.0425,0.00264666305174294,0.00261709107402876,0.00150110860626975
alpha45_material1,45,1,-0.04,0.00239751597008021,0.00237072778909514,0.00135979978788252
alpha45_material1,45,1,-0.0375,0.00215800456673802,0.00213389252009398,0.00122395603980135
alpha45_material1,45,1,-0.035,0.001928361420534,0.00190681524716851,0.00109370927381779
alpha45_material1,45,1,-0.0325,0.0017088414095526,0.00168974800057216,0.000969204049204628
alpha45_material1,45,1,-0.03,0.00149972569418739,0.00148296879920725,0.000850599831779125
alpha45_material1,45,1,-0.0275,0.00130132679600522,0.00128678667274133,0.000738073874483741
alpha45_material1,45,1,-0.025,0.00111399519890163,0.00110154818900594,0.000631824961365288
alpha45_material1,45,1,-0.0225,0.000938128123388733,0.000927646130246606,0.00053207838409016
alpha45_material1,45,1,-0.02,0.000774181504870278,0.000765531337561043,0.00043909273566589
alpha45_material1,45,1,-0.0175,0.000622686883054572,0.000615729411601426,0.000353169489614082
alpha45_material1,45,1,-0.015,0.000484276188066341,0.000478865221743457,0.000274667057916256
alpha45_material1,45,1,-0.0125,0.000359720014492782,0.000355700752484754,0.000204022498915
alpha45_material1,45,1,-0.01,0.000249990827991505,0.000247197603825987,0.000141787366223072
alpha45_material1,45,1,-0.00750000000000001,0.000156377547732247,0.000154630293447841,8.86926964781739e-05
alpha45_material1,45,1,-0.005,8.07244989537048e-05,7.98225393776739e-05,4.57845361299089e-05
alpha45_material1,45,1,-0.0025,2.60667352625758e-05,2.57754836377199e-05,1.4784277361729e-05
alpha45_material1,45,1,0,0,0,0
alpha105_material2,105,2,-0.5,0.0370357092536519,0.0131058130952178,0.00882578917517344
alpha105_material2,105,2,-0.4975,0.0363326197109026,0.0128570110519421,0.00865823952645266
alpha105_material2,105,2,-0.495,0.0356394362632567,0.0126117144749729,0.00849305054824945
alpha105_material2,105,2,-0.4925,0.0349560683148107,0.0123698913051706,0.00833020065112049
alpha105_material2,105,2,-0.49,0.0342824256457814,0.0121315096164929,0.0081696683352538
alpha105_material2,105,2,-0.4875,0.0336184184128419,0.0118965376161141,0.00801143219054876
alpha105_material2,105,2,-0.485,0.0329639571494594,0.0116649436445445,0.00785547089669661
alpha105_material2,105,2,-0.4825,0.0323189527662352,0.0114366961757506,0.00770176322326146
alpha105_material2,105,2,-0.48,0.0316833165512466,0.0112117638172763,0.00755028802976179
alpha105_material2,105,2,-0.4775,0.0310569601703907,0.0109901153103644,0.00740102426575236
alpha105_material2,105,2,-0.475,0.0304397956677309,0.0107717195300793,0.00725395097090682
alpha105_material2,105,2,-0.4725,0.0298317354658448,0.0105565454854302,0.00710904727510058
alpha105_material2,105,2,-0.47,0.0292326923661751,0.0103445623194948,0.00696629239849439
alpha105_material2,105,2,-0.4675,0.0286425795493814,0.0101357393095445,0.00682566565161833
alpha105_material2,105,2,-0.465,0.0280613105756958,0.00993004586716978,0.00668714643545634
alpha105_material2,105,2,-0.4625,0.0274887993852792,0.00972745153840639,0.00655071424153135
alpha105_material2,105,2,-0.46,0.0269249602985814,0.00952792600386269,0.00641634865199085
alpha105_material2,105,2,-0.4575,0.0263697080167017,0.00933143907884744,0.00628402933969306
alpha105_material2,105,2,-0.455,0.0258229576217534,0.00913796071349868,0.00615373606829364
alpha105_material2,105,2,-0.4525,0.0252846245772298,0.00894746099291319,0.00602544869233293
alpha105_material2,105,2,-0.45,0.0247546247283726,0.00875991013727699,0.00589914715732382
alpha105_material2,105,2,-0.4475,0.0242328743025431,0.00857527850199657,0.0057748114998401
alpha105_material2,105,2,-0.445,0.0237192899095953,0.008393536577831,0.00565242184760549
alpha105_material2,105,2,-0.4425,0.0232137885422518,0.00821465499102496,0.0055319584195831
alpha105_material2,105,2,-0.44,0.0227162875764822,0.00803860450344251,0.00541340152606566
alpha105_material2,105,2,-0.4375,0.0222267047718836,0.00786535601270195,0.00529673156876625
alpha105_material2,105,2,-0.435,0.0217449582720643,0.00769488055231138,0.0051819290409096
alpha105_material2,105,2,-0.4325,0.0212709666050292,0.0075271492918053,0.0050689745273241
alpha105_material2,105,2,-0.43,0.020804648683569,0.00736213353688206,0.00495784870453436
alpha105_material2,105,2,-0.4275,0.0203459238056503,0.00719980472954229,0.00484853234085442
alpha105_material2,105,2,-0.425,0.0198947116548107,0.00704013444822825,0.00474100629648159
alpha105_material2,105,2,-0.4225,0.0194509323005541,0.00688309440796413,0.00463525152359096
alpha105_material2,105,2,-0.42,0.0190145061987507,0.00672865646049736,0.00453124906643051
alpha105_material2,105,2,-0.4175,0.0185853541920386,0.00657679259444082,0.00442898006141694
alpha105_material2,105,2,-0.415,0.0181633975102291,0.00642747493541613,0.00432842573723211
alpha105_material2,105,2,-0.4125,0.0177485577707137,0.00628067574619792,0.00422956741492022
