alpha_deg,lambda0,lambda,lambda1,lambda2,lambda1_D1_printed,lambda0_residual,lambda_residual,lambda1_residual,lambda2_residual
15,-0.104219925278955,-0.835469692106478,-0.47032485749134,-0.499236134472784,NaN,1.12410081243297e-15,8.32667268468867e-17,1.11022302462516e-16,3.94649590784724e-16
16,-0.107330395799027,-0.828487300564879,-0.468340825571679,-0.499064447270271,NaN,4.9960036108132e-16,4.71844785465692e-16,1.11022302462516e-16,2.50667542278649e-16
17,-0.110041528415832,-0.82154681109498,-0.466341479930812,-0.498866935790981,NaN,8.60422844084496e-16,1.11022302462516e-16,1.11022302462516e-16,4.33680868994202e-18
18,-0.112373069991198,-0.81463536624314,-0.464324364959913,-0.498641202210334,NaN,4.9960036108132e-16,8.32667268468867e-16,7.7715611723761e-16,6.59194920871187e-17
19,-0.114344310198076,-0.807741694766051,-0.46228703557238,-0.498384699135628,NaN,3.05311331771918e-16,5.27355936696949e-16,8.88178419700125e-16,3.57353036051222e-16
20,-0.115973980777124,-0.800855808528148,-0.460227052922084,-0.498094719031314,NaN,9.71445146547012e-16,1.11022302462516e-16,2.77555756156289e-15,1.04083408558608e-16
21,-0.117280197287993,-0.793968766944952,-0.458141980124323,-0.497768383470719,NaN,1.94289029309402e-16,3.88578058618805e-16,9.99200722162641e-16,5.39499001028787e-16
22,-0.118280432336976,-0.78707249133101,-0.456029377971865,-0.497402632247366,NaN,4.9960036108132e-16,1.66533453693773e-16,1.11022302462516e-15,2.86229373536173e-16
23,-0.118991511692271,-0.780159616698196,-0.453886800637357,-0.496994212388158,NaN,5.55111512312578e-17,2.22044604925031e-16,1.11022302462516e-15,3.48679418671338e-16
24,-0.119429626635243,-0.773223372054259,-0.451711791352273,-0.496539667120743,NaN,5.55111512312578e-16,3.33066907387547e-16,3.99680288865056e-15,5.13478148889135e-16
25,-0.11961035742022,-0.76625748266563,-0.449501878051579,-0.49603532485824,NaN,4.9960036108132e-16,3.33066907387547e-16,2.22044604925031e-16,1.59594559789866e-16
26,-0.11954870390219,-0.759256089441428,-0.447254568972319,-0.495477288276184,NaN,6.10622663543836e-16,1.11022302462516e-16,2.22044604925031e-15,3.71230823859037e-16
27,-0.119259120308106,-0.752213681801994,-0.444967348193343,-0.494861423568941,NaN,1.4432899320127e-15,4.44089209850063e-16,2.44249065417534e-15,2.1163626406917e-16
28,-0.11875555183044,-0.74512504126774,-0.442637671102501,-0.494183349985779,NaN,4.44089209850063e-16,6.10622663543836e-16,2.22044604925031e-16,6.10622663543836e-16
29,-0.118051471258334,-0.737985193643503,-0.440262959776599,-0.493438429760133,NaN,6.10622663543836e-16,7.21644966006352e-16,6.66133814775094e-16,7.14706072102445e-16
30,-0.11715991427075,-0.730789368148055,-0.437840598258478,-0.492621758559029,NaN,9.99200722162641e-16,6.66133814775094e-16,1.99840144432528e-15,4.85722573273506e-17
31,-0.116093512328738,-0.7235329621945,-0.435367927714479,-0.491728156592944,NaN,7.21644966006352e-16,0,1.11022302462516e-15,5.06539254985228e-16
32,-0.114864522345327,-0.716211510797343,-0.432842241454484,-0.49075216053903,NaN,1.60982338570648e-15,3.33066907387547e-16,1.99840144432528e-15,1.11022302462516e-15
